[Decode Mode] Current Length of sequences is modified into input_len
Using synthesis trace
ACT: 0.844055GB, Weight: 7.47876GB, Cache: 16.1406GB
Total: 24.4634GB
-----------------------------------
-------------start-----------------
-----------------------------------
Total: 4363102.208000
./data/exp3_2bit_gpu//llama3_8B_synthesis_16400_128_GPU_N1_D4_TP1_DP4_maxbatch64_maxprocess524288_iter1_skew0_precision_byte1_parallel_execution0_ramul_decode.csv
LLM | 4363.1us  | 0 - 4363.1 | tensor(1, 128256) -> tensor(16, 128256) | ACT: 32.556mJ  | RD: 676.78mJ  | WR: 0.8175mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 83.193mJ  | Total: 710.16mJ | compute util: 0, memory util: 0, Op/B 14.538 | qk=1526.1us softmax=0us score_v=1529.3us kv_quant=0us
				Linear | 3.7595us  | 2281.6 - 2285.4 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0.048402mJ  | RD: 0.46897mJ  | WR: 0.0018248mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.12348mJ  | Total: 0.51919mJ | compute util: 0.040801, memory util: 0.56219, Op/B 31.752, GPU
			all_reduce | 0us  | 2285.4 - 2285.4 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		residual_1 | 0.024576us  | 2285.4 - 2285.4 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		post_attn_layer_norm | 0.016896us  | 2285.4 - 2285.4 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		feedforward | 32.431us  | 2285.4 - 2317.9 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0.23363mJ  | RD: 4.9278mJ  | WR: 0.020985mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 1.2965mJ  | Total: 5.1824mJ | compute util: 0, memory util: 0, Op/B 31.717
			gate_proj | 10.82us  | 2285.4 - 2296.3 | tensor(16, 4096) -> tensor(16, 14336) | ACT: 0.08005mJ  | RD: 1.6368mJ  | WR: 0.0063867mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7233mJ | compute util: 0, memory util: 0, Op/B 31.84
				Linear | 10.82us  | 2285.4 - 2296.3 | tensor(16, 4096) -> tensor(16, 14336) | ACT: 0.08005mJ  | RD: 1.6368mJ  | WR: 0.0063867mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7233mJ | compute util: 0.049618, memory util: 0.68178, Op/B 31.84, GPU
			activation | 0.134us  | 2296.3 - 2296.4 | tensor(16, 14336) -> tensor(16, 14336) | ACT: 0mJ  | RD: 0.012773mJ  | WR: 0.0063867mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0.01916mJ | compute util: 0, memory util: 0.64191, Op/B 0, GPU
			up_proj | 10.82us  | 2296.4 - 2307.2 | tensor(16, 4096) -> tensor(16, 14336) | ACT: 0.08005mJ  | RD: 1.6368mJ  | WR: 0.0063867mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7233mJ | compute util: 0, memory util: 0, Op/B 31.84
				Linear | 10.82us  | 2296.4 - 2307.2 | tensor(16, 4096) -> tensor(16, 14336) | ACT: 0.08005mJ  | RD: 1.6368mJ  | WR: 0.0063867mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7233mJ | compute util: 0.049618, memory util: 0.68178, Op/B 31.84, GPU
			down_proj | 10.657us  | 2307.2 - 2317.9 | tensor(16, 14336) -> tensor(16, 4096) | ACT: 0.073534mJ  | RD: 1.6414mJ  | WR: 0.0018248mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7167mJ | compute util: 0, memory util: 0, Op/B 31.84
				Linear | 10.657us  | 2307.2 - 2317.9 | tensor(16, 14336) -> tensor(16, 4096) | ACT: 0.073534mJ  | RD: 1.6414mJ  | WR: 0.0018248mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7167mJ | compute util: 0.05038, memory util: 0.69224, Op/B 31.84, GPU
		all_reduce | 0us  | 2317.9 - 2317.9 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		residual_1 | 0.024576us  | 2317.9 - 2317.9 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
	decoder_17 | 136.35us  | 2317.9 - 2454.2 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 1.0174mJ  | RD: 21.15mJ  | WR: 0.025547mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 2.5998mJ  | Total: 22.192mJ | compute util: 0, memory util: 0, Op/B 14.538 | qk=47.691us softmax=0us score_v=47.791us kv_quant=0us
		input_layer_norm | 0.016896us  | 2317.9 - 2317.9 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		attention | 103.83us  | 2317.9 - 2421.7 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0.78375mJ  | RD: 16.222mJ  | WR: 0.0045619mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 1.3032mJ  | Total: 17.01mJ | compute util: 0, memory util: 0, Op/B 9.4474 | qk=47.691us softmax=0us score_v=47.791us kv_quant=0us
			attn_qkv_proj | 4.5915us  | 2317.9 - 2322.5 | tensor(16, 4096) -> tensor(16, 6144) | ACT: 0.039094mJ  | RD: 0.70254mJ  | WR: 0.0027372mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.18522mJ  | Total: 0.74437mJ | compute util: 0, memory util: 0, Op/B 31.793
				Linear | 4.5915us  | 2317.9 - 2322.5 | tensor(16, 4096) -> tensor(16, 6144) | ACT: 0.039094mJ  | RD: 0.70254mJ  | WR: 0.0027372mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.18522mJ  | Total: 0.74437mJ | compute util: 0.050112, memory util: 0.68958, Op/B 31.793, GPU
			self_attention | 95.483us  | 2322.5 - 2418 | tensor(16, 6144) -> tensor(16, 4096) | ACT: 0.69625mJ  | RD: 15.05mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.99454mJ  | Total: 15.746mJ | compute util: 0, memory util: 0, Op/B 7.7558 | qk=47.691us softmax=0us score_v=47.791us kv_quant=0us
				AttentionSplit | 0us  | 2322.5 - 2322.5 | tensor(16, 6144) -> tensor(0, 6144) tensor(16, 6144) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
				AttentionSum | 0us  | 2322.5 - 2322.5 | tensor(0, 6144) -> tensor(0, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0, GPU
				AttentionGen | 95.483us  | 2322.5 - 2418 | tensor(16, 6144) -> tensor(16, 4096) | ACT: 0.69625mJ  | RD: 15.05mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.99454mJ  | Total: 15.746mJ | compute util: 0.012939, memory util: 0.72989, Op/B 7.7558, GPU | qk=47.691us softmax=0us score_v=47.791us kv_quant=0us
				AttentionMerge | 0us  | 2418 - 2418 | tensor(0, 4096) tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
			attn_o_proj | 3.7595us  | 2418 - 2421.7 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0.048402mJ  | RD: 0.46897mJ  | WR: 0.0018248mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.12348mJ  | Total: 0.51919mJ | compute util: 0, memory util: 0, Op/B 31.752
				Linear | 3.7595us  | 2418 - 2421.7 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0.048402mJ  | RD: 0.46897mJ  | WR: 0.0018248mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.12348mJ  | Total: 0.51919mJ | compute util: 0.040801, memory util: 0.56219, Op/B 31.752, GPU
			all_reduce | 0us  | 2421.7 - 2421.7 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		residual_1 | 0.024576us  | 2421.7 - 2421.8 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		post_attn_layer_norm | 0.016896us  | 2421.8 - 2421.8 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		feedforward | 32.43us  | 2421.8 - 2454.2 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0.23363mJ  | RD: 4.9278mJ  | WR: 0.020985mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 1.2965mJ  | Total: 5.1824mJ | compute util: 0, memory util: 0, Op/B 31.717
			gate_proj | 10.82us  | 2421.8 - 2432.6 | tensor(16, 4096) -> tensor(16, 14336) | ACT: 0.08005mJ  | RD: 1.6368mJ  | WR: 0.0063867mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7233mJ | compute util: 0, memory util: 0, Op/B 31.84
				Linear | 10.82us  | 2421.8 - 2432.6 | tensor(16, 4096) -> tensor(16, 14336) | ACT: 0.08005mJ  | RD: 1.6368mJ  | WR: 0.0063867mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7233mJ | compute util: 0.049618, memory util: 0.68178, Op/B 31.84, GPU
			activation | 0.134us  | 2432.6 - 2432.7 | tensor(16, 14336) -> tensor(16, 14336) | ACT: 0mJ  | RD: 0.012773mJ  | WR: 0.0063867mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0.01916mJ | compute util: 0, memory util: 0.64191, Op/B 0, GPU
			up_proj | 10.82us  | 2432.7 - 2443.6 | tensor(16, 4096) -> tensor(16, 14336) | ACT: 0.08005mJ  | RD: 1.6368mJ  | WR: 0.0063867mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7233mJ | compute util: 0, memory util: 0, Op/B 31.84
				Linear | 10.82us  | 2432.7 - 2443.6 | tensor(16, 4096) -> tensor(16, 14336) | ACT: 0.08005mJ  | RD: 1.6368mJ  | WR: 0.0063867mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7233mJ | compute util: 0.049618, memory util: 0.68178, Op/B 31.84, GPU
			down_proj | 10.657us  | 2443.6 - 2454.2 | tensor(16, 14336) -> tensor(16, 4096) | ACT: 0.073534mJ  | RD: 1.6414mJ  | WR: 0.0018248mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7167mJ | compute util: 0, memory util: 0, Op/B 31.84
				Linear | 10.657us  | 2443.6 - 2454.2 | tensor(16, 14336) -> tensor(16, 4096) | ACT: 0.073534mJ  | RD: 1.6414mJ  | WR: 0.0018248mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7167mJ | compute util: 0.05038, memory util: 0.69224, Op/B 31.84, GPU
		all_reduce | 0us  | 2454.2 - 2454.2 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		residual_1 | 0.024576us  | 2454.2 - 2454.2 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
	decoder_18 | 136.35us  | 2454.2 - 2590.6 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 1.0174mJ  | RD: 21.15mJ  | WR: 0.025547mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 2.5998mJ  | Total: 22.192mJ | compute util: 0, memory util: 0, Op/B 14.538 | qk=47.691us softmax=0us score_v=47.791us kv_quant=0us
		input_layer_norm | 0.016896us  | 2454.2 - 2454.3 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		attention | 103.83us  | 2454.3 - 2558.1 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0.78375mJ  | RD: 16.222mJ  | WR: 0.0045619mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 1.3032mJ  | Total: 17.01mJ | compute util: 0, memory util: 0, Op/B 9.4474 | qk=47.691us softmax=0us score_v=47.791us kv_quant=0us
			attn_qkv_proj | 4.5915us  | 2454.3 - 2458.9 | tensor(16, 4096) -> tensor(16, 6144) | ACT: 0.039094mJ  | RD: 0.70254mJ  | WR: 0.0027372mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.18522mJ  | Total: 0.74437mJ | compute util: 0, memory util: 0, Op/B 31.793
				Linear | 4.5915us  | 2454.3 - 2458.9 | tensor(16, 4096) -> tensor(16, 6144) | ACT: 0.039094mJ  | RD: 0.70254mJ  | WR: 0.0027372mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.18522mJ  | Total: 0.74437mJ | compute util: 0.050112, memory util: 0.68958, Op/B 31.793, GPU
			self_attention | 95.483us  | 2458.9 - 2554.3 | tensor(16, 6144) -> tensor(16, 4096) | ACT: 0.69625mJ  | RD: 15.05mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.99454mJ  | Total: 15.746mJ | compute util: 0, memory util: 0, Op/B 7.7558 | qk=47.691us softmax=0us score_v=47.791us kv_quant=0us
				AttentionSplit | 0us  | 2458.9 - 2458.9 | tensor(16, 6144) -> tensor(0, 6144) tensor(16, 6144) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
				AttentionSum | 0us  | 2458.9 - 2458.9 | tensor(0, 6144) -> tensor(0, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0, GPU
				AttentionGen | 95.483us  | 2458.9 - 2554.3 | tensor(16, 6144) -> tensor(16, 4096) | ACT: 0.69625mJ  | RD: 15.05mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.99454mJ  | Total: 15.746mJ | compute util: 0.012939, memory util: 0.72989, Op/B 7.7558, GPU | qk=47.691us softmax=0us score_v=47.791us kv_quant=0us
				AttentionMerge | 0us  | 2554.3 - 2554.3 | tensor(0, 4096) tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
			attn_o_proj | 3.7595us  | 2554.3 - 2558.1 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0.048402mJ  | RD: 0.46897mJ  | WR: 0.0018248mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.12348mJ  | Total: 0.51919mJ | compute util: 0, memory util: 0, Op/B 31.752
				Linear | 3.7595us  | 2554.3 - 2558.1 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0.048402mJ  | RD: 0.46897mJ  | WR: 0.0018248mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.12348mJ  | Total: 0.51919mJ | compute util: 0.040801, memory util: 0.56219, Op/B 31.752, GPU
			all_reduce | 0us  | 2558.1 - 2558.1 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		residual_1 | 0.024576us  | 2558.1 - 2558.1 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		post_attn_layer_norm | 0.016896us  | 2558.1 - 2558.1 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		feedforward | 32.431us  | 2558.1 - 2590.6 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0.23363mJ  | RD: 4.9278mJ  | WR: 0.020985mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 1.2965mJ  | Total: 5.1824mJ | compute util: 0, memory util: 0, Op/B 31.717
			gate_proj | 10.82us  | 2558.1 - 2569 | tensor(16, 4096) -> tensor(16, 14336) | ACT: 0.08005mJ  | RD: 1.6368mJ  | WR: 0.0063867mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7233mJ | compute util: 0, memory util: 0, Op/B 31.84
				Linear | 10.82us  | 2558.1 - 2569 | tensor(16, 4096) -> tensor(16, 14336) | ACT: 0.08005mJ  | RD: 1.6368mJ  | WR: 0.0063867mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7233mJ | compute util: 0.049618, memory util: 0.68178, Op/B 31.84, GPU
			activation | 0.134us  | 2569 - 2569.1 | tensor(16, 14336) -> tensor(16, 14336) | ACT: 0mJ  | RD: 0.012773mJ  | WR: 0.0063867mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0.01916mJ | compute util: 0, memory util: 0.64191, Op/B 0, GPU
			up_proj | 10.82us  | 2569.1 - 2579.9 | tensor(16, 4096) -> tensor(16, 14336) | ACT: 0.08005mJ  | RD: 1.6368mJ  | WR: 0.0063867mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7233mJ | compute util: 0, memory util: 0, Op/B 31.84
				Linear | 10.82us  | 2569.1 - 2579.9 | tensor(16, 4096) -> tensor(16, 14336) | ACT: 0.08005mJ  | RD: 1.6368mJ  | WR: 0.0063867mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7233mJ | compute util: 0.049618, memory util: 0.68178, Op/B 31.84, GPU
			down_proj | 10.657us  | 2579.9 - 2590.6 | tensor(16, 14336) -> tensor(16, 4096) | ACT: 0.073534mJ  | RD: 1.6414mJ  | WR: 0.0018248mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7167mJ | compute util: 0, memory util: 0, Op/B 31.84
				Linear | 10.657us  | 2579.9 - 2590.6 | tensor(16, 14336) -> tensor(16, 4096) | ACT: 0.073534mJ  | RD: 1.6414mJ  | WR: 0.0018248mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7167mJ | compute util: 0.05038, memory util: 0.69224, Op/B 31.84, GPU
		all_reduce | 0us  | 2590.6 - 2590.6 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		residual_1 | 0.024576us  | 2590.6 - 2590.6 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
	decoder_19 | 136.35us  | 2590.6 - 2726.9 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 1.0174mJ  | RD: 21.15mJ  | WR: 0.025547mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 2.5998mJ  | Total: 22.192mJ | compute util: 0, memory util: 0, Op/B 14.538 | qk=47.691us softmax=0us score_v=47.791us kv_quant=0us
		input_layer_norm | 0.016896us  | 2590.6 - 2590.6 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		attention | 103.83us  | 2590.6 - 2694.4 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0.78375mJ  | RD: 16.222mJ  | WR: 0.0045619mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 1.3032mJ  | Total: 17.01mJ | compute util: 0, memory util: 0, Op/B 9.4474 | qk=47.691us softmax=0us score_v=47.791us kv_quant=0us
			attn_qkv_proj | 4.5915us  | 2590.6 - 2595.2 | tensor(16, 4096) -> tensor(16, 6144) | ACT: 0.039094mJ  | RD: 0.70254mJ  | WR: 0.0027372mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.18522mJ  | Total: 0.74437mJ | compute util: 0, memory util: 0, Op/B 31.793
				Linear | 4.5915us  | 2590.6 - 2595.2 | tensor(16, 4096) -> tensor(16, 6144) | ACT: 0.039094mJ  | RD: 0.70254mJ  | WR: 0.0027372mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.18522mJ  | Total: 0.74437mJ | compute util: 0.050112, memory util: 0.68958, Op/B 31.793, GPU
			self_attention | 95.483us  | 2595.2 - 2690.7 | tensor(16, 6144) -> tensor(16, 4096) | ACT: 0.69625mJ  | RD: 15.05mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.99454mJ  | Total: 15.746mJ | compute util: 0, memory util: 0, Op/B 7.7558 | qk=47.691us softmax=0us score_v=47.791us kv_quant=0us
				AttentionSplit | 0us  | 2595.2 - 2595.2 | tensor(16, 6144) -> tensor(0, 6144) tensor(16, 6144) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
				AttentionSum | 0us  | 2595.2 - 2595.2 | tensor(0, 6144) -> tensor(0, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0, GPU
				AttentionGen | 95.483us  | 2595.2 - 2690.7 | tensor(16, 6144) -> tensor(16, 4096) | ACT: 0.69625mJ  | RD: 15.05mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.99454mJ  | Total: 15.746mJ | compute util: 0.012939, memory util: 0.72989, Op/B 7.7558, GPU | qk=47.691us softmax=0us score_v=47.791us kv_quant=0us
				AttentionMerge | 0us  | 2690.7 - 2690.7 | tensor(0, 4096) tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
			attn_o_proj | 3.7595us  | 2690.7 - 2694.4 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0.048402mJ  | RD: 0.46897mJ  | WR: 0.0018248mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.12348mJ  | Total: 0.51919mJ | compute util: 0, memory util: 0, Op/B 31.752
